nombre_producto,SKU,descripcion,unidad_produccion_id,unidad_venta_id,precio_venta_usd,punto_reorden,categoria_id,es_intermediario,tipo_medida_fisica,vendible_por_medida_real
Masa Hojaldre Clásica,PE-INT-001,Masa base para croissants y productos hojaldrados.,2,2,,5000.0,2,True,PESO,
Crema Pastelera Vainilla,PE-INT-002,Crema base para relleno de tartas y pasteles.,2,2,,3000.0,6,True,PESO,
Almíbar Simple,PE-INT-003,Jarabe de azúcar para humedecer bizcochos.,5,5,,2000.0,4,True,VOLUMEN,
Relleno de Carne Molida,PE-INT-004,Relleno salado para empanadas y pastelitos.,2,2,,4000.0,3,True,PESO,
Masa de Pan Blanco,PE-INT-005,Masa base para panes artesanales.,2,2,,6000.0,2,True,PESO,
Crema Chantilly,PE-INT-006,Crema batida endulzada para decoración.,2,2,,2500.0,6,True,PESO,
Merengue Italiano,PE-INT-007,Merengue estable para decoración y relleno.,2,2,,2000.0,5,True,PESO,
Ganache de Chocolate,PE-INT-008,Crema de chocolate para relleno y cobertura.,2,2,,3500.0,6,True,PESO,
Masa de Bizcocho Vainilla,PE-INT-009,Base esponjosa para tortas y pasteles.,2,2,,4000.0,5,True,PESO,
Relleno de Pollo Guisado,PE-INT-010,Relleno salado con pollo y vegetales.,2,2,,3500.0,3,True,PESO,
Almíbar de Frutas Rojas,PE-INT-011,Jarabe concentrado de frutas del bosque.,5,5,,1500.0,4,True,VOLUMEN,
Base de Tarta Dulce,PE-INT-012,Masa quebrada para bases de tartas.,2,2,,5000.0,1,True,PESO,
Crema de Limón,PE-INT-013,Crema ácida para relleno de tartas.,2,2,,2500.0,6,True,PESO,
Masa de Pan Integral,PE-INT-014,Masa de pan con harina integral.,2,2,,5500.0,2,True,PESO,
Relleno de Queso y Jamón,PE-INT-015,Relleno salado clásico para pastelitos.,2,2,,3000.0,3,True,PESO,
Glaseado Real,PE-INT-016,Glaseado blanco para decoración de galletas.,2,2,,2000.0,7,True,PESO,
Masa de Galletas Mantequilla,PE-INT-017,Masa base para galletas de mantequilla.,2,2,,4500.0,2,True,PESO,
Crema de Café,PE-INT-018,Crema con sabor a café para relleno.,2,2,,2800.0,6,True,PESO,
Almíbar de Naranja,PE-INT-019,Jarabe cítrico para humedecer bizcochos.,5,5,,1800.0,4,True,VOLUMEN,
Masa de Pan de Maíz,PE-INT-020,Masa dulce con harina de maíz.,2,2,,4000.0,2,True,PESO,
Relleno de Atún,PE-INT-021,Relleno de atún con vegetales.,2,2,,3200.0,3,True,PESO,
Crema de Chocolate Blanco,PE-INT-022,Crema suave de chocolate blanco.,2,2,,3000.0,6,True,PESO,
Base de Galleta Triturada,PE-INT-023,Base para cheesecakes y tartas frías.,2,2,,3500.0,1,True,PESO,
Masa de Bizcocho Chocolate,PE-INT-024,Bizcocho oscuro con cacao.,2,2,,4200.0,5,True,PESO,
Relleno de Vegetales Salteados,PE-INT-025,Relleno vegetariano para empanadas.,2,2,,2800.0,3,True,PESO,
Crema de Dulce de Leche,PE-INT-026,Crema cremosa de dulce de leche.,2,2,,3200.0,6,True,PESO,
Almíbar de Chocolate,PE-INT-027,Jarabe de chocolate para decoración.,5,5,,2000.0,4,True,VOLUMEN,
Masa de Pan de Avena,PE-INT-028,Masa nutritiva con avena.,2,2,,5000.0,2,True,PESO,
Relleno de Jamón y Queso Crema,PE-INT-029,Relleno cremoso para pastelitos.,2,2,,3400.0,3,True,PESO,
Crema de Fresa,PE-INT-030,Crema rosada con sabor a fresa.,2,2,,2700.0,6,True,PESO,
